@id	@type	@lat	@lon	name	highway	lanes	maxspeed	oneway
5671259	way	40.8707913	-73.9122161	9th Avenue	tertiary			no
5671261	way	40.7398474	-74.0061780	9th Avenue	residential	1	25 mph	yes
5671276	way	40.7644327	-73.9882564	9th Avenue	primary	3		yes
5671281	way	40.8602125	-73.9196125	9th Avenue	residential			yes
5671282	way	40.8015046	-73.9538877	Adam Clayton Powell Jr. Boulevard	primary	2	25 mph	yes
5671283	way	40.8195597	-73.9597483	West 132nd Street	residential			
5671285	way	40.8591445	-73.9290495	Bogardus Place	residential			
5671291	way	40.7234737	-74.0038953	Watts Street	primary	4	25 mph	yes
5671295	way	40.8022764	-73.9384355	East 122nd Street	residential			yes
5671296	way	40.7210673	-74.0056323	York Street	residential	1	20 mph	yes
5671297	way	40.8097002	-73.9579868	West 121st Street	residential			yes
5671298	way	40.8054858	-73.9479966	West 121st Street	residential			yes
5671300	way	40.7653425	-73.9523066	East 71st Street	tertiary	2	25 mph	yes
5671302	way	40.7888674	-73.9519987	East 99th Street	residential			
5671307	way	40.7168383	-74.0158033	River Terrace	residential	2	20 mph	no
5671311	way	40.7517768	-74.0079278	West 26th Street	residential	1	25 mph	yes
5671314	way	40.7145377	-74.0055719	Reade Street	unclassified	1	20 mph	yes
5671315	way	40.7478717	-73.9832020	East 34th Street	primary	5	25 mph	
5671317	way	40.7455858	-73.9855927	East 30th Street	tertiary		25 mph	yes
5671318	way	40.7942336	-73.9352307	East 114th Street	residential			yes
5671319	way	40.7787730	-73.9759631	West 75th Street	residential			yes
5671322	way	40.7219473	-73.9974562	Lafayette Street	residential	1	25 mph	yes
5671327	way	40.7266778	-74.0081955	Vandam Street	residential		25 mph	yes
5671329	way	40.8769809	-73.9100493	West 227th Street	residential			yes
5671331	way	40.8218354	-73.9551800	West 137th Street	residential			yes
5671332	way	40.8147085	-73.9382652	West 137th Street	residential			yes
5671335	way	40.7786683	-73.9678210	79th Street Transverse	secondary	2	25 mph	no
5671339	way	40.7174297	-73.9957833	Hester Street	residential		25 mph	yes
5671341	way	40.7164966	-73.9928649	Hester Street	residential	1	25 mph	yes
5671343	way	40.7151940	-73.9812577	Columbia Street	residential		25 mph	yes
5671345	way	40.8644156	-73.9237763	Academy Street	tertiary			
5671349	way	40.7472497	-73.9719793	East 39th Street	residential	1	25 mph	yes
5671352	way	40.8517960	-73.9301010	West 186th Street	residential			yes
5671353	way	40.8535114	-73.9352781	West 186th Street	residential		20 mph	
5671354	way	40.7198322	-74.0072730	North Moore Street	residential		20 mph	yes
5671357	way	40.7795418	-73.9516456	East 88th Street	residential		25 mph	yes
5671359	way	40.7373675	-73.9947285	West 15th Street	residential	1	25 mph	yes
5671360	way	40.8676051	-73.9182790	West 211th Street	tertiary			yes
5671365	way	40.7481703	-73.9711159	Tudor City Place	residential			
5671367	way	40.7929042	-73.9457550	East 107th Street	residential			yes
5671368	way	40.7946233	-73.9498119	East 107th Street	residential			yes
5671369	way	40.7898633	-73.9385621		service			
5671370	way	40.7471342	-73.9779241	Sniffen Court	service			
5671393	way	40.7415193	-73.9875148	Madison Avenue	secondary	3	25 mph	yes
5671397	way	40.8696324	-73.9132857	West 216th Street	residential			
5671400	way	40.7182527	-73.9845272	Attorney Street	residential		25 mph	yes
5671401	way	40.7443434	-73.9864984	East 28th Street	residential		25 mph	yes
5671403	way	40.7912169	-73.9696020	West 93rd Street	residential			yes
5671404	way	40.7159436	-73.9828221	Willett Street	residential		25 mph	yes
5671405	way	40.8753742	-73.9118622	Jacobus Place	residential			
5671406	way	40.8450980	-73.9357663	West 175th Street	residential			yes
5671410	way	40.7183817	-73.9757556	Mangin Street	residential		25 mph	yes
5671413	way	40.7151799	-73.9774082	Mangin Street	residential		25 mph	yes
5671415	way	40.7748864	-73.9787929	West 69th Street	residential		25 mph	yes
5671422	way	40.7697776	-73.9506722	East 77th Street	residential	1	25 mph	yes
5671425	way	40.7593953	-73.9988862	West 40th Street	primary	2	25 mph	yes
5671429	way	40.7329332	-73.9904464	East 12th Street	residential	1	25 mph	yes
5671432	way	40.8637020	-73.9223719	Post Avenue	tertiary			
5671434	way	40.7148171	-73.9980192	Pell Street	residential		20 mph	yes
5671436	way	40.7081116	-74.0140019	Rector Street	residential	1	20 mph	yes
5671440	way	40.7511818	-73.9931265	West 33rd Street	service	2	25 mph	no
5671442	way	40.7484021	-73.9865275	West 33rd Street	residential		25 mph	yes
5671444	way	40.7987446	-73.9517855	West 111th Street	residential			yes
5671446	way	40.8042476	-73.9648517	West 111th Street	residential			yes
5671447	way	40.8078042	-73.9654826	West 115th Street	residential			yes
5671450	way	40.8012398	-73.9499543	West 115th Street	residential			yes
5671452	way	40.8057927	-73.9606881	West 115th Street	residential			yes
5671456	way	40.8626086	-73.9185361	West 205th Street	residential			
5671457	way	40.7168532	-74.0146714	North End Avenue	residential	1	20 mph	yes
5671458	way	40.7164896	-74.0147812	North End Avenue	residential	1	20 mph	yes
5671459	way	40.7373533	-73.9908751	East 17th Street	residential	1	25 mph	yes
5671460	way	40.7320323	-74.0024763	Jones Street	residential		25 mph	yes
5671461	way	40.8378618	-73.9403428	West 164th Street	residential			yes
5671463	way	40.8366568	-73.9452354	West 160th Street	residential			yes
5671472	way	40.7391810	-73.9849987	Lexington Avenue	residential	2	25 mph	yes
5671475	way	40.7644947	-73.9599599	East 66th Street	tertiary	1	25 mph	yes
5671476	way	40.7531144	-73.9579172	South Loop Road	unclassified	1	15 mph	yes
5671485	way	40.7967213	-73.9628827	Manhattan Avenue	residential			
5671488	way	40.8168665	-73.9356393	West 141st Street	residential			
5671491	way	40.8193742	-73.9415915	West 141st Street	residential			yes
5671492	way	40.7576832	-73.9543573	West Main Street	residential	2	15 mph	
5671494	way	40.8410787	-73.9378782	West 169th Street	residential			yes
5671533	way	40.8201423	-73.9591966	West 133rd Street	secondary	2		yes
5671538	way	40.7181173	-74.0038426	Franklin Place	service		20 mph	
5671540	way	40.7988915	-73.9660844	West 104th Street	residential			yes
5671543	way	40.7152295	-74.0006609	Hogan Place	residential	1	20 mph	yes
5671558	way	40.7727698	-73.9456861	East 83rd Street	residential			
5671562	way	40.8271404	-73.9521711	Riverbank Park Access Road	service			no
5671568	way	40.7948187	-73.9333623	Pleasant Avenue	residential	2	25 mph	
5671570	way	40.8005816	-73.9600455	West 109th Street	residential			yes
5671573	way	40.7638912	-73.9466392	Roosevelt Island Bridge	secondary	2	25 mph	
5671574	way	40.7639314	-73.9722259	East 59th Street	secondary	3	25 mph	yes
5671577	way	40.7559820	-73.9614165	East 55th Street	residential		25 mph	
5671579	way	40.7577932	-73.9594663	Riverview Terrace	residential			
5671581	way	40.7124332	-73.9843412	Monroe Street	service		25 mph	
5671584	way	40.7114920	-73.9955086	Monroe Street	residential	1	20 mph	yes
5671587	way	40.7118082	-74.0065067	Park Row	secondary	3	20 mph	yes
5671593	way	40.7116487	-74.0046669	Frankfort Street	secondary	1	20 mph	yes
5671597	way	40.8336726	-73.9420079	West 158th Street	residential			yes
5671599	way	40.7094841	-74.0074285	Dutch Street	residential	1	20 mph	yes
5671603	way	40.7285914	-74.0030493	Bedford Street	residential		25 mph	yes
5671608	way	40.7275523	-74.0009851	West Houston Street	primary	3	25 mph	yes
5671615	way	40.7049770	-74.0098617	William Street	residential	1	20 mph	yes
5671617	way	40.8130987	-73.9531245	Convent Avenue	tertiary			
5671620	way	40.7414574	-73.9893672	East 23rd Street	secondary	5	25 mph	no
5671622	way	40.8174960	-73.9361612	Chisum Place	residential			
5671623	way	40.7835167	-73.9532988	East 92nd Street	residential			yes
5671626	way	40.8205196	-73.9581738	West 134th Street (upper)	residential			
